	Record_num	Operator_id	ALM_COOL_PUMP_RUN_COL_RET_VALVE_CLS	ALM_COOL_PUMP_WORK_HRS_MAX	ALM_INLET_FLOW_HIGH	ALM_INLET_FLOW_LOW	ALM_INLET_PRESSURE_MIN	ALM_P1_FILTER_CLOGGED	ALM_P1_WORK_HRS_MAX	ALM_P2_FILTER_CLOGGED	ALM_P2_WORK_HRS_MAX	ALM_P3_FILTER_CLOGGED	ALM_P3_WORK_HRS_MAX	ALM_RP_FILTER_CLOGGED	ALM_RP_WORK_HRS_MAX	ALM_TANK_LEVEL_HIGH	ALM_TANK_LEVEL_LOW	ALM_TANK_TEMP_MAX	ALM_TANK_TEMP_MIN	STAT_COOL_PUMP_RUN	STAT_COOL_RET_VALVE_OPEN	STAT_DISCHG_VALVE_OPEN	STAT_HEATER_RUN	STAT_INLET_VALVE_OPEN	STAT_P1_RUN	STAT_P2_RUN	STAT_P3_RUN	STAT_RP_RUN	STAT_COOL_PUMP_WORK_HRS	STAT_FLOW_IN	STAT_P1_WORK_HRS	STAT_P2_WORK_HRS	STAT_P3_WORK_HRS	STAT_RP_WORK_HRS	STAT_OUTSIDE_TEMP	STAT_P1_FILTER_CLOG	STAT_P2_FILTER_CLOG	STAT_P3_FILTER_CLOG	STAT_PRESSURE_IN	STAT_RP_FILTER_CLOG	STAT_TANK_LEVEL	STAT_TANK_TEMP	CMD_COOL_PUMP_START	CMD_COOL_PUMP_STOP	CMD_COOL_PUMP_WORK_HRS_RESET	CMD_COOL_RET_VALVE_CLOSE	CMD_COOL_RET_VALVE_OPEN	CMD_DISCHG_VALVE_CLOSE	CMD_DISCHG_VALVE_OPEN	CMD_HEATER_START	CMD_HEATER_STOP	CMD_INLET_VALVE_CLOSE	CMD_INLET_VALVE_OPEN	CMD_P1_FILTER_CLEAN	CMD_P1_START	CMD_P1_STOP	CMD_P1_WORK_HRS_RESET	CMD_P2_FILTER_CLEAN	CMD_P2_START	CMD_P2_STOP	CMD_P2_WORK_HRS_RESET	CMD_P3_FILTER_CLEAN	CMD_P3_START	CMD_P3_STOP	CMD_P3_WORK_HRS_RESET	CMD_RP_FILTER_CLEAN	CMD_RP_START	CMD_RP_STOP	CMD_RP_WORK_HRS_RESET	SET_COOL_PUMP_POWER	SET_HEAT_EXCHG_VALVE_OPEN	SET_P1_POWER	SET_P2_POWER	SET_P3_POWER	SET_RP_POWER
154139	11090	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	49420	75	64890	10410	60900	51210	29.90008	82.66025	100.0686	46.49128	5.542423	12.60001	73.5	29.09707	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
154156	11091	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	49420	75	65240	10410	61250	51210	26.40006	86.16019	100.0686	49.99123	5.192429	12.60001	56.0	31.39708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	72	0	78	50
154173	11092	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	49420	75	65450	10410	61460	51420	24.30005	77.76016	100.0686	41.5912	6.032432	14.70002	45.5	29.29707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	72	0	78	50
154190	11093	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	49420	75	66070	10410	62080	51420	18.10003	83.96007	100.0686	47.7911	5.412441	14.70002	14.5	23.09705	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
154207	11094	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	49420	75	66290	10410	62300	51420	15.90002	86.16003	100.0686	49.99107	5.192445	14.70002	58.5	20.89704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	72	0	78	50
154224	11095	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	49420	75	66430	10410	62440	51560	14.50002	80.56001	100.0686	44.39105	5.752447	16.10003	86.5	19.49703	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
154241	11096	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	49420	75	66440	10410	62450	51570	14.40002	80.16001	100.0686	43.99105	5.792447	16.20003	86.0	19.39703	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
154258	11097	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	49420	75	66450	10410	62460	51580	14.30002	79.76001	100.0686	43.59105	5.832447	16.30003	85.5	19.29703	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
154275	11098	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	49420	75	66500	10410	62510	51630	13.80001	77.76	100.0686	41.59104	6.032448	16.80003	83.0	18.79703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	72	0	78	50
154292	11099	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	49420	75	66880	10410	62890	51630	10.0	81.55994	100.0686	45.39098	5.652454	16.80003	64.0	14.99701	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
